name,tags,x,y,z,bas_demand
Junction-467933,,"355554.353000000119209","396836.857000000774860","25.363334999999999","0.215741"
Junction-59214,,"356067.381918820785359","398092.573340614908375","77.984999999999999","0.046430"
Junction-1532,,"355767.893794047355186","398068.866715662181377","49.945000000000000","0.029687"
Junction-14276,,"354149.111107774660923","397436.099279299844056","12.940001000000001","0.441512"
Junction-387,,"354203.335107767838053","396671.049280581297353","20.596665999999999","0.000000"
Junction-44264,,"354529.919794992194511","397458.178279248008039","21.246666000000001","0.172712"
Junction-460,,"354264.629857654217631","398154.217215589247644","24.763999999999999","0.043676"
Junction-14353,,"354313.686857614316978","398311.156777823634911","42.450943000000002","0.049310"
Junction-26382,,"354907.481107233674265","396896.672280175203923","24.223333000000000","0.067255"
Junction-26102,,"353595.795108187885489","397369.082279437338002","13.293953999999999","0.277725"
Junction-51345,,"356264.149856175354216","398175.932965462154243","78.693929999999995","0.060989"
Junction-59052,,"354997.889232109242585","398161.616215545102023","33.495002999999997","0.048171"
Junction-37637,,"356679.245105861453339","398219.569277876056731","70.244995000000003","0.113432"
Junction-26551,,"355097.268107030424289","398326.807277765008621","34.890003000000000","0.177364"
Junction-15634,,"356102.558106303215027","397910.351278416346759","73.476659999999995","0.071845"
Junction-473,,"354305.054420114029199","398345.074652765237261","42.604999999999997","0.000000"
Junction-51696,,"356700.302105843962636","398354.248277648410294","56.210000000000001","0.135840"
Junction-44287,,"354678.172107413294725","396675.140280556690414","25.982859000000001","0.000000"
Junction-470,,"354354.203545086551458","398210.800090488512069","40.079999999999998","0.057412"
Junction-466742,,"352081.556999996304512","396463.796999998390675","13.830000000000000","0.224332"
Junction-15644,,"356038.969293838425074","398178.843340470804833","72.465000000000003","0.164388"
Junction-27470,,"356109.846293802664150","397882.791278466058429","71.287505999999993","0.022883"
Junction-343,,"353868.986107946024276","398252.942277948313858","10.615000999999999","0.055925"
Junction-14029,,"352858.062108763842843","396656.904280666378327","13.625812000000000","0.000000"
Junction-15352,,"355819.020106569572818","396743.854530388372950","25.109999999999999","1.356134"
Junction-44697,,"355646.074231633450836","398114.199840597342700","46.119999999999997","0.000000"
Junction-15014,,"355576.035106727096718","397093.557279810425825","31.140000000000001","0.000000"
Junction-475008,,"356496.140000000596046","397230.232000000774860","94.883340000000004","0.000000"
Junction-27268,,"355982.040106352535076","398835.592276870214846","41.969999999999999","0.207463"
Junction-14389,,"354490.145795034244657","397087.259217371931300","19.578333000000001","0.222022"
Junction-37636,,"356703.066105847770814","398185.638277931662742","70.609999999999999","0.196702"
Junction-16184,,"356361.354793568199966","398874.909339291858487","39.257500000000000","0.000000"
Junction-44279,,"354480.004107484477572","398433.480277612688951","26.489999999999998","0.000000"
Junction-50802,,"354902.079107184370514","398218.172277956502512","41.086857000000002","0.064470"
Junction-26323,,"354705.695107384410221","396914.096280151570681","22.807998999999999","0.073332"
Junction-51334,,"356117.181106297939550","397856.831278510508128","69.697500000000005","0.000000"
Junction-55569,,"354350.168107595411129","398029.624278296832927","22.824999999999999","0.048519"
Junction-14203,,"353577.378108231467195","396629.653280681930482","21.924830000000000","0.000000"
Junction-329,,"353882.739107988541946","397032.557279989938252","15.845786000000000","0.000000"
Junction-14374,,"354328.331295097712427","398431.776590118592139","37.375000000000000","0.000000"
Junction-14558,,"354852.546107208589092","398331.836277764174156","40.409999999999997","0.000000"
Junction-14280,,"354173.989857725100592","398056.486715758743230","14.967999000000001","0.000000"
Junction-513,,"354463.591295007267036","398163.047528063703794","39.823334000000003","0.000000"
Junction-15665,,"356068.484106283984147","398896.710276764119044","35.549999999999997","0.153912"
Junction-14528,,"354875.777107267756946","396744.143280426855199","26.678000000000001","0.034656"
Junction-61157,,"356771.731273979530670","398097.654359516745899","70.523340000000005","0.000000"
Junction-44157,,"353448.087108291860204","397390.962279410683550","12.467240000000000","0.285099"
Junction-456846,,"356613.100000001431908","397375.368999999074731","96.935000000000002","0.000000"
